,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Postcode,Regionname,Propertycount,Distance,CouncilArea
20623,Doncaster East,2/44 Franklin Rd,3,u,820000.0,S,Jellis,11/08/2018,3109,Eastern Metropolitan,10999,14.3,Manningham City Council
20626,Doreen,9 Lexington Av,4,h,500000.0,S,HAR,11/08/2018,3754,Northern Victoria,7254,25.9,Nillumbik Shire Council
20628,Eltham,14/91 Bridge St,2,t,642500.0,S,Buckingham,11/08/2018,3095,Eastern Metropolitan,6990,18.0,Banyule City Council
20634,Elwood,2/15 Hennessy Av,2,u,888000.0,S,hockingstuart,11/08/2018,3184,Southern Metropolitan,8989,7.2,Port Phillip City Council
20636,Epping,11 Prada Dr,5,h,660000.0,S,Iconek,11/08/2018,3076,Northern Metropolitan,10926,19.6,Whittlesea City Council
20640,Essendon,2/3 Thomson St,2,u,660500.0,S,Nelson,11/08/2018,3040,Western Metropolitan,9264,7.5,Moonee Valley City Council
20641,Essendon West,467 Buckley St,2,h,1121000.0,S,Nelson,11/08/2018,3040,Western Metropolitan,588,7.5,Moonee Valley City Council
20642,Fairfield,101 Gillies St,3,h,1300000.0,S,Nelson,11/08/2018,3078,Northern Metropolitan,2970,5.7,Darebin City Council
20645,Footscray,45 Cowper St,4,h,1350000.0,S,Village,11/08/2018,3011,Western Metropolitan,7570,5.1,Maribyrnong City Council
20649,Forest Hill,10 Ilios Cl,3,h,980000.0,S,Fletchers,11/08/2018,3131,Eastern Metropolitan,4385,15.4,Whitehorse City Council
20652,Glen Huntly,14/9 Park Av,2,u,390000.0,S,Thomson,11/08/2018,3163,Southern Metropolitan,2403,10.1,Glen Eira City Council
20653,Glen Huntly,1/25 Royal Av,2,u,390000.0,S,Buxton,11/08/2018,3163,Southern Metropolitan,2403,10.1,Glen Eira City Council
20657,Glen Iris,4/12 Dickens St,2,u,915000.0,S,Jellis,11/08/2018,3146,Southern Metropolitan,10412,7.3,Boroondara City Council
20660,Glen Waverley,3 Landridge St,3,h,1500000.0,S,Barry,11/08/2018,3150,Eastern Metropolitan,15321,16.7,Monash City Council
20662,Greensborough,187 Grimshaw St,4,h,818000.0,S,Ray,11/08/2018,3088,Northern Metropolitan,8524,16.1,Banyule City Council
20665,Hampton,4/1 Edinburgh St,2,u,835000.0,S,Buxton,11/08/2018,3188,Southern Metropolitan,5454,13.8,Bayside City Council
20666,Hampton,112 Linacre Rd,3,h,1390000.0,S,Buxton,11/08/2018,3188,Southern Metropolitan,5454,13.8,Bayside City Council
20673,Hawthorn,3/18 Connell St,2,u,655000.0,S,Marshall,11/08/2018,3122,Southern Metropolitan,11308,5.3,Boroondara City Council
20676,Hawthorn East,5 Currajong Rd,4,h,3105000.0,S,Jellis,11/08/2018,3123,Southern Metropolitan,6482,6.2,Boroondara City Council
20679,Heidelberg,1/146 Cape St,3,h,1020000.0,S,Ray,11/08/2018,3084,Eastern Metropolitan,2890,8.9,Banyule City Council
20682,Highett,23 Jackson Rd,3,h,1275000.0,S,Buxton,11/08/2018,3190,Southern Metropolitan,4794,16.0,Bayside City Council
20684,Highett,105/35 Tennyson St,2,u,525200.0,S,Buxton,11/08/2018,3190,Southern Metropolitan,4794,16.0,Bayside City Council
20686,Hoppers Crossing,242 Derrimut Rd,3,h,595000.0,S,Barry,11/08/2018,3029,Western Metropolitan,13830,18.4,Wyndham City Council
20688,Hughesdale,2A Hotham St,3,h,1251000.0,S,Thomson,11/08/2018,3166,Southern Metropolitan,3145,12.3,Monash City Council
20689,Huntingdale,1/9 Berkeley St,3,u,820000.0,S,Ray,11/08/2018,3166,Southern Metropolitan,768,12.3,Monash City Council
20692,Jacana,5 Bamburgh St,3,h,615000.0,S,Stockdale,11/08/2018,3047,Northern Metropolitan,851,14.0,Hume City Council
20696,Keilor,61 Parramatta Rd,3,h,731000.0,S,Brad,11/08/2018,3036,Western Metropolitan,2339,14.5,Brimbank City Council
20697,Keilor Downs,2/21 Aquanita Cr,3,t,575000.0,S,Barry,11/08/2018,3038,Western Metropolitan,3656,15.5,Brimbank City Council
20699,Keilor East,33 Lauricella Av,3,h,750000.0,S,Nelson,11/08/2018,3033,Western Metropolitan,5629,11.7,Brimbank City Council
20703,Kensington,4/50 Henry St,2,u,652000.0,S,Nelson,11/08/2018,3031,Northern Metropolitan,5263,3.4,Melbourne City Council
20705,Kew,4/92 Princess St,2,u,640000.0,S,Philip,11/08/2018,3101,Southern Metropolitan,10331,5.4,Boroondara City Council
20711,Kingsbury,42 Scott Gr,3,h,780000.0,S,Barry,11/08/2018,3083,Northern Metropolitan,1414,12.1,Darebin City Council
20721,Malvern East,60 Abbotsford Av,3,h,1180000.0,S,Nelson,11/08/2018,3145,Southern Metropolitan,8801,8.4,Stonnington City Council
20722,Malvern East,5 Argyll St,4,h,1330000.0,S,Marshall,11/08/2018,3145,Southern Metropolitan,8801,8.4,Stonnington City Council
20725,Malvern East,3/8 Fisher St,2,u,795000.0,S,Ray,11/08/2018,3145,Southern Metropolitan,8801,8.4,Stonnington City Council
20730,Malvern East,38 Paxton St,3,h,1980000.0,S,Jellis,11/08/2018,3145,Southern Metropolitan,8801,8.4,Stonnington City Council
20731,Malvern East,27 Rothesay Av,4,h,2115000.0,S,Marshall,11/08/2018,3145,Southern Metropolitan,8801,8.4,Stonnington City Council
20740,Melbourne,621/118 Franklin St,3,u,605000.0,S,MICM,11/08/2018,3000,Northern Metropolitan,17496,0.0,Melbourne City Council
20742,Melbourne,58/398 La Trobe St,3,u,1150000.0,S,Inner,11/08/2018,3000,Northern Metropolitan,17496,0.0,Melbourne City Council
20743,Melbourne,1008/480 St Kilda Rd,2,u,590000.0,S,Kay,11/08/2018,3000,Northern Metropolitan,17496,0.0,Melbourne City Council
20744,Mentone,2/14 Florence St,3,t,940000.0,S,Hodges,11/08/2018,3194,South-Eastern Metropolitan,6162,20.0,Kingston City Council
20746,Mentone,32 Teague Av,3,t,995000.0,S,hockingstuart,11/08/2018,3194,South-Eastern Metropolitan,6162,20.0,Kingston City Council
20749,Mickleham,45 Heritage Wy,3,h,2090000.0,S,hockingstuart,11/08/2018,3064,Northern Metropolitan,1158,20.6,Hume City Council
20752,Mitcham,507 Mitcham Rd,4,h,1400000.0,S,Noel,11/08/2018,3132,Eastern Metropolitan,6871,17.2,Whitehorse City Council
20753,Mitcham,2A Rye St,3,h,831000.0,S,Jellis,11/08/2018,3132,Eastern Metropolitan,6871,17.2,Whitehorse City Council
20755,Mont Albert,19 View St,5,h,2495000.0,S,Jellis,11/08/2018,3127,Eastern Metropolitan,2079,10.2,Boroondara City Council
20756,Moonee Ponds,1/20 Park St,2,t,860500.0,S,Nelson,11/08/2018,3039,Western Metropolitan,6232,6.2,Moonee Valley City Council
20757,Moorabbin,16 Walsh Av,4,h,1155000.0,S,Ray,11/08/2018,3189,Southern Metropolitan,2555,14.3,Kingston City Council
20761,Mount Waverley,8 Montvale Mw,5,h,1432000.0,S,McGrath,11/08/2018,3149,Eastern Metropolitan,13366,14.2,Monash City Council
20762,Mount Waverley,1 Ochre Pl,4,h,1140000.0,S,Buxton,11/08/2018,3149,Eastern Metropolitan,13366,14.2,Monash City Council
20763,Mount Waverley,24 Viewbank Rd,3,h,1025000.0,S,Jellis,11/08/2018,3149,Eastern Metropolitan,13366,14.2,Monash City Council
20767,Mulgrave,12 Cloverdale Ct,3,h,881000.0,S,Ray,11/08/2018,3170,South-Eastern Metropolitan,7113,18.8,Monash City Council
20769,Mulgrave,8 Sophi Ct,3,h,908000.0,S,Ray,11/08/2018,3170,South-Eastern Metropolitan,7113,18.8,Monash City Council
20772,Murrumbeena,26A Murrumbeena Cr,3,t,965000.0,S,Jellis,11/08/2018,3163,Southern Metropolitan,4442,10.1,Glen Eira City Council
20773,Murrumbeena,59 Rosella St,3,h,1254000.0,S,Barry,11/08/2018,3163,Southern Metropolitan,4442,10.1,Glen Eira City Council
20776,Newport,4/71 Oxford St,3,t,890000.0,S,Sweeney,11/08/2018,3015,Western Metropolitan,5498,6.2,Hobsons Bay City Council
20778,Niddrie,1/66 Hotham Rd,2,u,652500.0,S,Nelson,11/08/2018,3042,Western Metropolitan,2291,10.4,Moonee Valley City Council
20779,Noble Park,2 Bristol Ct,4,h,750000.0,S,Raine,11/08/2018,3174,South-Eastern Metropolitan,11806,22.7,Greater Dandenong City Council
20780,Noble Park,16 Joy Pde,3,h,1120000.0,S,iSell,11/08/2018,3174,South-Eastern Metropolitan,11806,22.7,Greater Dandenong City Council
20781,Noble Park,7 Lodge St,3,h,680000.0,S,C,11/08/2018,3174,South-Eastern Metropolitan,11806,22.7,Greater Dandenong City Council
20783,Northcote,63 Arthurton Rd,4,h,1465000.0,S,Nelson,11/08/2018,3070,Northern Metropolitan,11364,5.3,Darebin City Council
20786,Northcote,16 Victoria Rd,3,h,1095000.0,S,Collings,11/08/2018,3070,Northern Metropolitan,11364,5.3,Darebin City Council
20789,Oakleigh,40 Andrew St,2,h,1165000.0,S,Buxton,11/08/2018,3166,Southern Metropolitan,3224,12.3,Monash City Council
20791,Oakleigh East,2/17 Alexander Av,3,t,855000.0,S,Ray,11/08/2018,3166,Southern Metropolitan,2547,12.3,Monash City Council
20792,Oakleigh South,19 Dalgan St,2,h,1180000.0,S,O'Brien,11/08/2018,3167,South-Eastern Metropolitan,3692,15.5,Kingston City Council
20793,Oakleigh South,7 Montrose St,3,h,800700.0,S,Ray,11/08/2018,3167,South-Eastern Metropolitan,3692,15.5,Kingston City Council
20801,Port Melbourne,67 Albert St,3,h,1200000.0,S,Marshall,11/08/2018,3207,Southern Metropolitan,8648,3.5,Melbourne City Council
20805,Port Melbourne,863/1 Esplanade Pl,2,u,845000.0,S,hockingstuart,11/08/2018,3207,Southern Metropolitan,8648,3.5,Melbourne City Council
20806,Port Melbourne,58 Poolman St,3,h,1740000.0,S,hockingstuart,11/08/2018,3207,Southern Metropolitan,8648,3.5,Melbourne City Council
20807,Port Melbourne,330 Williamstown Rd,4,h,1200000.0,S,Greg,11/08/2018,3207,Southern Metropolitan,8648,3.5,Melbourne City Council
20808,Prahran,5/8 Charles St,2,u,545700.0,S,RT,11/08/2018,3181,Southern Metropolitan,7717,4.6,Stonnington City Council
20809,Prahran,5/22 Chomley St,2,u,645000.0,S,hockingstuart,11/08/2018,3181,Southern Metropolitan,7717,4.6,Stonnington City Council
20810,Prahran,20/311 Dandenong Rd,2,u,644000.0,S,Besser,11/08/2018,3181,Southern Metropolitan,7717,4.6,Stonnington City Council
20811,Prahran,7/43 Grandview Gr,1,u,455500.0,S,hockingstuart,11/08/2018,3181,Southern Metropolitan,7717,4.6,Stonnington City Council
20812,Preston,14 Alfred St,3,h,780000.0,S,McGrath,11/08/2018,3072,Northern Metropolitan,14577,8.4,Darebin City Council
20814,Preston,1/40 Grandview Rd,3,u,810000.0,S,Miles,11/08/2018,3072,Northern Metropolitan,14577,8.4,Darebin City Council
20817,Reservoir,8 Daleglen St,3,h,630000.0,S,Barry,11/08/2018,3073,Northern Metropolitan,21650,12.0,Darebin City Council
20818,Reservoir,6 Joan Ct,3,h,682000.0,S,hockingstuart,11/08/2018,3073,Northern Metropolitan,21650,12.0,Darebin City Council
20821,Reservoir,1/144 St Vigeons Rd,2,u,522500.0,S,Ray,11/08/2018,3073,Northern Metropolitan,21650,12.0,Darebin City Council
20822,Richmond,8/10 Elaine Ct,3,u,870000.0,S,Biggin,11/08/2018,3121,Northern Metropolitan,14949,2.4,Yarra City Council
20825,Richmond,24 Waltham St,2,h,1472000.0,S,Biggin,11/08/2018,3121,Northern Metropolitan,14949,2.4,Yarra City Council
20827,Ringwood,17 Hillcrest Av,3,h,495000.0,S,McGrath,11/08/2018,3134,Eastern Metropolitan,7785,19.9,Maroondah City Council
20832,Rosanna,7 Hartley Ct,4,h,1436000.0,S,Fletchers/Fletchers,11/08/2018,3084,Eastern Metropolitan,3540,8.9,Banyule City Council
20834,Roxburgh Park,1 Perry Ct,3,h,520000.0,S,Raine,11/08/2018,3064,Northern Metropolitan,5833,20.6,Hume City Council
20835,Sandringham,66 Spring St,3,h,1270000.0,S,hockingstuart,11/08/2018,3191,Southern Metropolitan,4497,15.2,Bayside City Council
20844,South Yarra,16 Lang St,3,h,1650000.0,S,Jellis,11/08/2018,3141,Southern Metropolitan,14887,2.7,Melbourne City Council
20845,South Yarra,30/350 Toorak Rd,3,u,1250000.0,S,Jellis,11/08/2018,3141,Southern Metropolitan,14887,2.7,Melbourne City Council
20847,Southbank,40/106 Southbank Bvd,3,u,835000.0,S,hockingstuart,11/08/2018,3006,Southern Metropolitan,8400,0.7,Melbourne City Council
20849,Springvale South,80 Harold Rd,3,h,720000.0,S,Area,11/08/2018,3172,South-Eastern Metropolitan,4054,22.2,Greater Dandenong City Council
20850,St Albans,31 Henry St,3,h,760000.0,S,Ray,11/08/2018,3021,Western Metropolitan,14042,14.0,Brimbank City Council
20851,St Kilda,103/72 Acland St,1,u,445000.0,S,Jellis,11/08/2018,3182,Southern Metropolitan,13240,5.0,Port Phillip City Council
20854,Strathmore,13 Wallace Cr,4,h,1357500.0,S,Frank,11/08/2018,3041,Western Metropolitan,3284,8.2,Moonee Valley City Council
20856,Sunbury,13 McLean Ct,3,h,692000.0,S,Brad,11/08/2018,3429,Western Metropolitan,14092,31.7,Hume City Council
20858,Sunshine North,19 Blackmore St,2,h,635000.0,S,Douglas,11/08/2018,3020,Western Metropolitan,4217,10.5,Brimbank City Council
20859,Sunshine West,11 Drinkwater Cr,3,h,628000.0,S,Bells,11/08/2018,3020,Western Metropolitan,6763,10.5,Brimbank City Council
20862,Tarneit,10 Summer Ct,4,h,680000.0,S,hockingstuart,11/08/2018,3029,Western Metropolitan,10160,18.4,Wyndham City Council
20864,Templestowe,7 Donegal Ct,4,h,1220000.0,S,Barry,11/08/2018,3106,Eastern Metropolitan,6202,15.5,Manningham City Council
20870,Thomastown,6 Cranley Pl,3,h,660000.0,S,Love,11/08/2018,3074,Northern Metropolitan,7955,15.3,Whittlesea City Council
20880,Wantirna,30 Kingloch Pde,3,h,750000.0,S,Ray,11/08/2018,3152,Eastern Metropolitan,5424,14.7,Knox City Council
20881,Wantirna South,1 Glenmaggie Ct,4,h,1000000.0,S,Barry,11/08/2018,3152,Eastern Metropolitan,7082,14.7,Knox City Council
20882,Watsonia,28 Black St,3,h,910000.0,S,Holland,11/08/2018,3087,Northern Metropolitan,2329,14.5,Banyule City Council
20883,Watsonia North,51 Middleton St,3,h,770000.0,S,Jellis,11/08/2018,3087,Northern Metropolitan,1442,14.5,Banyule City Council
20885,Werribee,8 Bower Dr,3,h,500000.0,S,hockingstuart,11/08/2018,3030,Western Metropolitan,16166,14.7,Wyndham City Council
20897,Wollert,2/36 Mombassa Dr,2,u,380000.0,S,hockingstuart,11/08/2018,3750,Northern Metropolitan,2940,25.5,Whittlesea City Council
20901,Yarraville,23 Angliss St,4,h,1200000.0,S,Village,11/08/2018,3013,Western Metropolitan,6543,6.3,Maribyrnong City Council
20908,Abbotsford,6/29 Church St,2,u,505000.0,S,Biggin,11/11/2017,3067,Northern Metropolitan,4019,3.0,Yarra City Council
20909,Abbotsford,85 Nicholson St,3,u,940000.0,S,Biggin,11/11/2017,3067,Northern Metropolitan,4019,3.0,Yarra City Council
20912,Aberfeldie,1A Vida St,3,t,1150000.0,S,Barry,11/11/2017,3040,Western Metropolitan,1543,7.5,Moonee Valley City Council
20913,Albanvale,1 Fernhill Ct,4,h,560000.0,S,Barry,11/11/2017,3021,Western Metropolitan,1899,14.0,Brimbank City Council
20917,Albion,54 Burnewang St,3,h,635000.0,S,Bells,11/11/2017,3020,Western Metropolitan,2185,10.5,Brimbank City Council
20924,Altona North,2/33 Fifth Av,3,h,760000.0,S,RT,11/11/2017,3025,Western Metropolitan,5132,9.4,Hobsons Bay City Council
20927,Altona North,1/4 Prentice St,3,t,755000.0,S,Jas,11/11/2017,3025,Western Metropolitan,5132,9.4,Hobsons Bay City Council
20928,Altona North,11 Prismall St,2,h,1025000.0,S,Greg,11/11/2017,3025,Western Metropolitan,5132,9.4,Hobsons Bay City Council
20930,Armadale,11/26 Denbigh Rd,1,u,500000.0,S,Marshall,11/11/2017,3143,Southern Metropolitan,4836,6.3,Stonnington City Council
20931,Ascot Vale,7b Rothwell St,3,h,1275000.0,S,Nelson,11/11/2017,3032,Western Metropolitan,6567,4.3,Moonee Valley City Council
20932,Ascot Vale,46 South St,3,h,1155000.0,S,Brad,11/11/2017,3032,Western Metropolitan,6567,4.3,Moonee Valley City Council
20933,Ascot Vale,133 The Parade,2,h,1365000.0,S,Raine,11/11/2017,3032,Western Metropolitan,6567,4.3,Moonee Valley City Council
20937,Ashburton,6/9 Sunderland Av,3,t,1200000.0,S,hockingstuart,11/11/2017,3147,Southern Metropolitan,3052,10.2,Boroondara City Council
20938,Ashwood,44 Cleveland Rd,4,h,1425000.0,S,Buxton,11/11/2017,3147,Southern Metropolitan,2894,10.2,Monash City Council
20941,Aspendale Gardens,17 Pacific Dr,4,h,1232000.0,S,Barry,11/11/2017,3195,South-Eastern Metropolitan,2243,21.5,Kingston City Council
20953,Balwyn,2/115 Strabane Av,3,t,1340000.0,S,hockingstuart,11/11/2017,3103,Southern Metropolitan,5682,7.9,Boroondara City Council
20954,Balwyn,8/34 Weir St,2,u,530000.0,S,Fletchers,11/11/2017,3103,Southern Metropolitan,5682,7.9,Boroondara City Council
20959,Balwyn North,32 Severn St,3,h,2340000.0,S,Nelson,11/11/2017,3104,Southern Metropolitan,7809,9.7,Boroondara City Council
20963,Beaumaris,11 Douglas St,3,h,1720000.0,S,Buxton,11/11/2017,3193,Southern Metropolitan,5366,17.3,Bayside City Council
20966,Beaumaris,28 Rossmith Av,6,h,1776000.0,S,Ray,11/11/2017,3193,Southern Metropolitan,5366,17.3,Bayside City Council
20969,Bentleigh,15A Miles St,3,t,1208000.0,S,Jellis,11/11/2017,3204,Southern Metropolitan,6795,11.4,Glen Eira City Council
20970,Bentleigh,2/511 South Rd,2,u,745000.0,S,Jellis,11/11/2017,3204,Southern Metropolitan,6795,11.4,Glen Eira City Council
20976,Bentleigh East,116 Marlborough St,3,t,886000.0,S,Ray,11/11/2017,3165,Southern Metropolitan,10969,13.8,Glen Eira City Council
20977,Bentleigh East,13 McGuinness Rd,3,h,1126500.0,S,Woodards,11/11/2017,3165,Southern Metropolitan,10969,13.8,Glen Eira City Council
20978,Bentleigh East,38 Moylan St,3,h,1835000.0,S,Buxton,11/11/2017,3165,Southern Metropolitan,10969,13.8,Glen Eira City Council
20980,Bentleigh East,3 Pell St,4,h,1540000.0,S,Jellis,11/11/2017,3165,Southern Metropolitan,10969,13.8,Glen Eira City Council
20981,Bentleigh East,17a Santaram St,4,h,1412000.0,S,Jellis,11/11/2017,3165,Southern Metropolitan,10969,13.8,Glen Eira City Council
20983,Bentleigh East,11 Wallace St,3,h,1160000.0,S,Jellis,11/11/2017,3165,Southern Metropolitan,10969,13.8,Glen Eira City Council
20984,Bentleigh East,1/755 Warrigal Rd,3,t,770000.0,S,Jellis,11/11/2017,3165,Southern Metropolitan,10969,13.8,Glen Eira City Council
20986,Berwick,1 Newsom Ct,4,h,730000.0,S,O'Brien,11/11/2017,3806,Eastern Victoria,17093,35.2,Casey City Council
20992,Blackburn,16 Wellington Av,4,h,1790000.0,S,Philip,11/11/2017,3130,Eastern Metropolitan,5713,13.4,Whitehorse City Council
20998,Boronia,2 Jaffa Ct,3,h,820000.0,S,Jellis,11/11/2017,3155,Eastern Metropolitan,9704,25.0,Knox City Council
20999,Boronia,117 Kanooka Rd,4,h,878000.0,S,Barry,11/11/2017,3155,Eastern Metropolitan,9704,25.0,Knox City Council
21002,Box Hill,20A Barkly St,5,h,1540000.0,S,Buxton,11/11/2017,3128,Eastern Metropolitan,4605,10.9,Whitehorse City Council
21003,Box Hill,43 Court St,3,h,1693000.0,S,Noel,11/11/2017,3128,Eastern Metropolitan,4605,10.9,Whitehorse City Council
21004,Box Hill,37 Thames St,4,h,1875000.0,S,RT,11/11/2017,3128,Eastern Metropolitan,4605,10.9,Whitehorse City Council
21006,Braybrook,71A South Rd,3,h,800000.0,S,Douglas,11/11/2017,3019,Western Metropolitan,3589,8.6,Maribyrnong City Council
21007,Briar Hill,67 Fernside Av,3,h,977000.0,S,Jellis,11/11/2017,3088,Eastern Metropolitan,1390,16.1,Banyule City Council
21008,Briar Hill,24 Pine Av,2,h,826000.0,S,Darren,11/11/2017,3088,Eastern Metropolitan,1390,16.1,Banyule City Council
21019,Brighton,6/29 Seacombe Gr,2,u,1570000.0,S,Marshall,11/11/2017,3186,Southern Metropolitan,10579,10.5,Bayside City Council
21021,Brighton,13 Whyte St,3,h,2230000.0,S,Marshall,11/11/2017,3186,Southern Metropolitan,10579,10.5,Bayside City Council
21022,Brighton East,33 Centre Rd,3,h,1750000.0,S,Buxton,11/11/2017,3187,Southern Metropolitan,6938,10.3,Bayside City Council
21023,Brighton East,43 Grant St,4,h,2003000.0,S,Marshall,11/11/2017,3187,Southern Metropolitan,6938,10.3,Bayside City Council
21029,Broadmeadows,331 Camp Rd,3,h,464000.0,S,Stockdale,11/11/2017,3047,Northern Metropolitan,4294,14.0,Hume City Council
21030,Broadmeadows,30 Cuthbert St,4,h,605000.0,S,YPA,11/11/2017,3047,Northern Metropolitan,4294,14.0,Hume City Council
21037,Brunswick,6/66 De Carle St,3,u,640000.0,S,hockingstuart,11/11/2017,3056,Northern Metropolitan,11918,5.2,Moreland City Council
21039,Brunswick,10a Latrobe St,4,h,1440000.0,S,Nelson,11/11/2017,3056,Northern Metropolitan,11918,5.2,Moreland City Council
21041,Brunswick East,536/22 Barkly St,1,u,415000.0,S,McGrath,11/11/2017,3057,Northern Metropolitan,5533,4.0,Moreland City Council
21042,Brunswick East,32 Brunswick Rd,2,h,907000.0,S,Nelson,11/11/2017,3057,Northern Metropolitan,5533,4.0,Moreland City Council
21043,Brunswick East,77 Clarence St,3,h,1710000.0,S,Harrington,11/11/2017,3057,Northern Metropolitan,5533,4.0,Moreland City Council
21045,Brunswick East,22 Leyden St,2,h,900000.0,S,Jellis,11/11/2017,3057,Northern Metropolitan,5533,4.0,Moreland City Council
21049,Brunswick West,11 Owen St,3,h,1400000.0,S,Collins,11/11/2017,3055,Northern Metropolitan,7082,5.2,Moreland City Council
21050,Brunswick West,29 Wales St,3,h,1085000.0,S,Raine,11/11/2017,3055,Northern Metropolitan,7082,5.2,Moreland City Council
21052,Bulleen,2/137 Manningham Rd,3,u,726000.0,S,Barry,11/11/2017,3105,Eastern Metropolitan,4480,10.8,Manningham City Council
21056,Bundoora,124 Greenwood Dr,5,h,800000.0,S,Ray,11/11/2017,3083,Northern Metropolitan,10175,12.1,Banyule City Council
21060,Bundoora,1 Springwood Vw,4,h,970000.0,S,Ray,11/11/2017,3083,Northern Metropolitan,10175,12.1,Banyule City Council
21061,Bundoora,45 Worcester Cr,4,h,1755000.0,S,Barry,11/11/2017,3083,Northern Metropolitan,10175,12.1,Banyule City Council
21062,Bundoora,63 Zara Cl,3,t,690000.0,S,Ray,11/11/2017,3083,Northern Metropolitan,10175,12.1,Banyule City Council
21063,Burnside,19 Mockridge Av,4,h,665000.0,S,YPA,11/11/2017,3023,Western Metropolitan,1607,14.8,Melton City Council
21064,Burnside,15 Roycroft Av,3,h,620000.0,S,YPA,11/11/2017,3023,Western Metropolitan,1607,14.8,Melton City Council
21067,Burwood,1/21 Beddows St,4,u,825000.0,S,Barry,11/11/2017,3125,Southern Metropolitan,5678,10.4,Monash City Council
21068,Burwood East,394 Blackburn Rd,3,h,1015000.0,S,Lindellas,11/11/2017,3151,Eastern Metropolitan,4048,14.7,Whitehorse City Council
21071,Cairnlea,19 Prospector Dr,3,h,610000.0,S,Barry,11/11/2017,3023,Western Metropolitan,2674,14.8,Brimbank City Council
21072,Camberwell,1/39 Allambee Av,3,h,1450000.0,S,Woodards,11/11/2017,3124,Southern Metropolitan,8920,7.7,Boroondara City Council
21073,Camberwell,18 Cochran Av,3,h,3010000.0,S,Woodards,11/11/2017,3124,Southern Metropolitan,8920,7.7,Boroondara City Council
21076,Camberwell,1/12 Nelson Rd,3,h,1665000.0,S,Jellis,11/11/2017,3124,Southern Metropolitan,8920,7.7,Boroondara City Council
21079,Carlton North,728 Lygon St,2,h,860000.0,S,Woodards,11/11/2017,3054,Northern Metropolitan,3106,3.5,Melbourne City Council
21082,Carnegie,5/9 Mimosa Rd,1,u,310000.0,S,Woodards,11/11/2017,3163,Southern Metropolitan,7822,10.1,Glen Eira City Council
21085,Carrum,37 Westley St,3,h,712500.0,S,RT,11/11/2017,3197,South-Eastern Metropolitan,1989,31.2,Kingston City Council
21086,Caulfield North,3/22 Kooyong Rd,2,u,700000.0,S,Gary,11/11/2017,3161,Southern Metropolitan,6923,7.8,Glen Eira City Council
21088,Caulfield South,6/27 Eumeralla Rd,3,u,895000.0,S,Gary,11/11/2017,3162,Southern Metropolitan,5051,8.7,Glen Eira City Council
21095,Cheltenham,1/24 Centre Dandenong Rd,3,t,1080000.0,S,Buxton,11/11/2017,3192,Southern Metropolitan,9758,17.9,Bayside City Council
21096,Cheltenham,2/24 Centre Dandenong Rd,3,t,1020000.0,S,Buxton,11/11/2017,3192,Southern Metropolitan,9758,17.9,Bayside City Council
21099,Clarinda,28 Bushland Av,3,h,862000.0,S,C21,11/11/2017,3169,South-Eastern Metropolitan,2727,17.5,Kingston City Council
21103,Clifton Hill,9/41 Dally St,2,u,1000000.0,S,Nelson,11/11/2017,3068,Northern Metropolitan,2954,3.6,Yarra City Council
21104,Clifton Hill,21 Groom St,2,h,1155000.0,S,Nelson,11/11/2017,3068,Northern Metropolitan,2954,3.6,Yarra City Council
21106,Clifton Hill,78 Walker St,2,h,1720000.0,S,Nelson,11/11/2017,3068,Northern Metropolitan,2954,3.6,Yarra City Council
21107,Coburg,12 Glencairn Av,3,h,1270000.0,S,Brad,11/11/2017,3058,Northern Metropolitan,11204,6.7,Darebin City Council
21109,Coburg,17 Hudson St,2,h,1025000.0,S,Nelson,11/11/2017,3058,Northern Metropolitan,11204,6.7,Darebin City Council
21110,Coburg,13 Industry La,2,t,698000.0,S,Brad,11/11/2017,3058,Northern Metropolitan,11204,6.7,Darebin City Council
21112,Coburg,35 Phillips St,3,h,1215000.0,S,Nelson,11/11/2017,3058,Northern Metropolitan,11204,6.7,Darebin City Council
21113,Coburg,13 Walsh St,4,h,1480000.0,S,Barry,11/11/2017,3058,Northern Metropolitan,11204,6.7,Darebin City Council
21114,Coburg North,35 Shorts Rd,3,h,822000.0,S,Nelson,11/11/2017,3058,Northern Metropolitan,3445,6.7,Darebin City Council
21115,Collingwood,15/79 Oxford St,2,u,1287000.0,S,Jellis,11/11/2017,3066,Northern Metropolitan,4553,2.0,Yarra City Council
21116,Craigieburn,8 Bowral Lp,3,h,520000.0,S,Barry,11/11/2017,3064,Northern Metropolitan,15510,20.6,Hume City Council
21119,Craigieburn,19 Keysborough St,3,h,570000.0,S,YPA,11/11/2017,3064,Northern Metropolitan,15510,20.6,Hume City Council
21121,Craigieburn,7 Padstowe Ct,3,h,528000.0,S,YPA,11/11/2017,3064,Northern Metropolitan,15510,20.6,Hume City Council
21122,Craigieburn,4 Redheugh St,4,h,648000.0,S,Ray,11/11/2017,3064,Northern Metropolitan,15510,20.6,Hume City Council
21123,Craigieburn,27 Willmott Dr,3,h,460000.0,S,Ray,11/11/2017,3064,Northern Metropolitan,15510,20.6,Hume City Council
21124,Craigieburn,54 Wisteria Av,5,h,741000.0,S,Barry,11/11/2017,3064,Northern Metropolitan,15510,20.6,Hume City Council
21125,Cranbourne,9 Ardmore St,3,h,521000.0,S,Ray,11/11/2017,3977,South-Eastern Metropolitan,7680,34.7,Casey City Council
