,Suburb,Address,Rooms,Type,Price,SellerG,Postcode,Regionname,Propertycount,Distance,CouncilArea,latitude,longitude
9090,Bulleen,47 Sheahans Rd,4,h,1260000.0,Barry,3105,Eastern Metropolitan,4480,10.8,Manningham City Council,-37.7692,145.0921
9091,Bundoora,11 Arthur St,4,h,800000.0,Barry,3083,Northern Metropolitan,10175,12.1,Banyule City Council,-37.7156,145.05066666666667
9092,Bundoora,444 Grimshaw St,3,h,581000.0,Barry,3083,Northern Metropolitan,10175,12.1,Banyule City Council,-37.7156,145.05066666666667
9093,Bundoora,3 Nash Ct,3,h,843000.0,Barry,3083,Northern Metropolitan,10175,12.1,Banyule City Council,-37.7156,145.05066666666667
9094,Bundoora,4 Rhonda Ct,3,h,680000.0,Barry,3083,Northern Metropolitan,10175,12.1,Banyule City Council,-37.7156,145.05066666666667
9095,Bundoora,12 Seira St,4,h,1410000.0,Barry,3083,Northern Metropolitan,10175,12.1,Banyule City Council,-37.7156,145.05066666666667
9096,Burwood East,199 Burwood Hwy,3,h,1203000.0,Allens,3151,Eastern Metropolitan,4048,14.7,Whitehorse City Council,-37.8538,145.15015
9097,Burwood East,1/9 Moona St,3,u,834000.0,Ray,3151,Eastern Metropolitan,4048,14.7,Whitehorse City Council,-37.8538,145.15015
9098,Camberwell,29 Fairfield Av,4,h,3165000.0,Marshall,3124,Southern Metropolitan,8920,7.7,Boroondara City Council,-37.8248,145.07470000000004
9099,Camberwell,1/688 Inkerman Rd,2,u,522000.0,Jellis,3124,Southern Metropolitan,8920,7.7,Boroondara City Council,-37.8248,145.07470000000004
9100,Camberwell,14 Marlborough Av,5,h,3360000.0,Marshall,3124,Southern Metropolitan,8920,7.7,Boroondara City Council,-37.8248,145.07470000000004
9101,Camberwell,3/573 Riversdale Rd,2,t,900400.0,Noel,3124,Southern Metropolitan,8920,7.7,Boroondara City Council,-37.8248,145.07470000000004
9102,Canterbury,1b Daphne St,3,h,928000.0,Fletchers,3126,Southern Metropolitan,3265,8.4,Boroondara City Council,-37.8248,145.07350000000002
9103,Carnegie,33 Moira Av,3,h,1185000.0,hockingstuart,3163,Southern Metropolitan,7822,10.1,Glen Eira City Council,-37.8895,145.058025
9104,Carnegie,1/38 Neville St,3,u,1170000.0,Woodards,3163,Southern Metropolitan,7822,10.1,Glen Eira City Council,-37.8895,145.058025
9105,Carnegie,20 Rigby Av,4,h,1705000.0,Gary,3163,Southern Metropolitan,7822,10.1,Glen Eira City Council,-37.8895,145.058025
9106,Carnegie,4 Vine Gr,4,h,1830000.0,Gary,3163,Southern Metropolitan,7822,10.1,Glen Eira City Council,-37.8895,145.058025
9107,Carrum,28 Emma St,3,h,770000.0,Buxton,3197,South-Eastern Metropolitan,1989,31.2,Kingston City Council,-38.0765,145.14155
9108,Caulfield South,5 Filbert St,3,h,1314000.0,Gary,3162,Southern Metropolitan,5051,8.7,Glen Eira City Council,-37.8939,145.0256
9109,Chelsea,6/21 Scotch Pde,3,t,625000.0,Ray,3196,South-Eastern Metropolitan,3906,27.0,Kingston City Council,-38.0419,145.1232
9110,Cheltenham,7 Clendon Ct,4,h,1025000.0,Greg,3192,Southern Metropolitan,9758,17.9,Bayside City Council,-37.9634,145.0629
9111,Cheltenham,1/29 Cox St,3,t,875000.0,O'Brien,3192,Southern Metropolitan,9758,17.9,Bayside City Council,-37.9634,145.0629
9112,Cheltenham,7 Fir Gr,3,t,1115000.0,Buxton,3192,Southern Metropolitan,9758,17.9,Bayside City Council,-37.9634,145.0629
9113,Cheltenham,13 Jells Rd,3,h,910000.0,O'Brien,3192,Southern Metropolitan,9758,17.9,Bayside City Council,-37.9634,145.0629
9114,Cheltenham,34 Lorna St,4,h,957000.0,C21,3192,Southern Metropolitan,9758,17.9,Bayside City Council,-37.9634,145.0629
9115,Cheltenham,9 Lorna St,3,h,966000.0,O'Brien,3192,Southern Metropolitan,9758,17.9,Bayside City Council,-37.9634,145.0629
9116,Cheltenham,34 Wingrove St,3,h,983000.0,Buxton,3192,Southern Metropolitan,9758,17.9,Bayside City Council,-37.9634,145.0629
9117,Clayton South,29 Springs Rd,3,h,965000.0,Darras,3169,South-Eastern Metropolitan,4734,17.5,Kingston City Council,-37.9459,145.1222
9118,Clifton Hill,32 Caroline St,4,h,3010000.0,Collins,3068,Northern Metropolitan,2954,3.6,Yarra City Council,-37.7748,144.9898
9119,Clifton Hill,17 Myrtle St,2,h,1435000.0,Nelson,3068,Northern Metropolitan,2954,3.6,Yarra City Council,-37.7748,144.9898
9120,Coburg,60 Glengyle St,3,h,1210000.0,Nelson,3058,Northern Metropolitan,11204,6.7,Darebin City Council,-37.7269,144.9597
9121,Coburg,8/6 McKay St,2,u,434000.0,Nelson,3058,Northern Metropolitan,11204,6.7,Darebin City Council,-37.7269,144.9597
9122,Coburg North,13 Pixel Cct,3,h,625000.0,Nelson,3058,Northern Metropolitan,3445,6.7,Darebin City Council,-37.7269,144.9597
9123,Coburg North,11 Spectrum Wy,4,h,1050000.0,hockingstuart,3058,Northern Metropolitan,3445,6.7,Darebin City Council,-37.7269,144.9597
9124,Collingwood,130 Perry St,3,t,910000.0,Jellis,3066,Northern Metropolitan,4553,2.0,Yarra City Council,-37.8022,144.98540000000003
9125,Craigieburn,6 Melville Rd,3,h,433000.0,Ray,3064,Northern Metropolitan,15510,20.6,Hume City Council,-37.5476,144.93716
9126,Croydon,31 Ronald Rd,4,h,850000.0,hockingstuart,3136,Eastern Metropolitan,11925,23.0,Maroondah City Council,-37.7758,145.27785
9127,Delahey,37 Kingsley Pl,4,h,500000.0,Barry,3037,Western Metropolitan,2898,18.0,Brimbank City Council,-37.7184,144.75860000000003
9128,Dingley Village,54 Kingston Dr,5,h,1015000.0,Ray,3172,South-Eastern Metropolitan,3940,22.2,Kingston City Council,-37.9807,145.1387
9129,Doncaster,49 Burgundy Dr,5,h,2168000.0,Barry,3108,Eastern Metropolitan,9028,12.4,Manningham City Council,-37.7855,145.1246
9130,Doncaster East,63 Bellevue Av,4,h,1146000.0,Barry,3109,Eastern Metropolitan,10999,14.3,Manningham City Council,-37.7795,145.1632
9131,Doncaster East,12 Dundas Ct,5,h,1267500.0,Jellis,3109,Eastern Metropolitan,10999,14.3,Manningham City Council,-37.7795,145.1632
9132,Doncaster East,18 Loxley Ct,4,h,1255000.0,Philip,3109,Eastern Metropolitan,10999,14.3,Manningham City Council,-37.7795,145.1632
9133,Donvale,7 Astelot Dr,3,h,918800.0,Jellis,3111,Eastern Metropolitan,4790,16.1,Manningham City Council,-37.7915,145.1846
9134,Donvale,16 Underwood Dr,3,h,938000.0,Barry,3111,Eastern Metropolitan,4790,16.1,Manningham City Council,-37.7915,145.1846
9135,Doreen,14 Breakwater Dr,3,h,521000.0,Harcourts,3754,Northern Victoria,7254,25.9,Nillumbik Shire Council,-37.5987,145.1189
9136,Eaglemont,6 Ashby Gr,5,h,1901000.0,Nelson,3084,Eastern Metropolitan,1651,8.9,Banyule City Council,-37.7637,145.07292
9137,Eaglemont,1 The Righi,4,h,1687000.0,Nelson,3084,Eastern Metropolitan,1651,8.9,Banyule City Council,-37.7637,145.07292
9138,Edithvale,30/61 Hughes Av,3,u,600000.0,hockingstuart/hockingstuart,3196,South-Eastern Metropolitan,2546,27.0,Kingston City Council,-38.0419,145.1232
9139,Edithvale,11 Mary Av,4,h,1155000.0,Eview,3196,South-Eastern Metropolitan,2546,27.0,Kingston City Council,-38.0419,145.1232
9140,Eltham,11 Flint St,4,h,1280000.0,Fletchers,3095,Eastern Metropolitan,6990,18.0,Banyule City Council,-37.7133,145.15826666666666
9141,Eltham North,12 Murrindal Cl,4,h,870000.0,Buckingham,3095,Eastern Metropolitan,2346,18.0,Banyule City Council,-37.7133,145.15826666666666
9142,Epping,3 Discovery Pl,4,h,675000.0,Iconek,3076,Northern Metropolitan,10926,19.6,Whittlesea City Council,-37.6307,145.0171
9143,Epping,1 Muller St,4,h,544000.0,Iconek,3076,Northern Metropolitan,10926,19.6,Whittlesea City Council,-37.6307,145.0171
9144,Essendon,6/4 Ballater St,2,u,521000.0,Nelson,3040,Western Metropolitan,9264,7.5,Moonee Valley City Council,-37.7498,144.89833333333334
9145,Essendon,1/14 Forrester St,2,u,645000.0,Barry,3040,Western Metropolitan,9264,7.5,Moonee Valley City Council,-37.7498,144.89833333333334
9146,Essendon,22 Nimmo St,4,h,1160000.0,Nelson,3040,Western Metropolitan,9264,7.5,Moonee Valley City Council,-37.7498,144.89833333333334
9147,Essendon,118a Ogilvie St,3,t,955000.0,Barry,3040,Western Metropolitan,9264,7.5,Moonee Valley City Council,-37.7498,144.89833333333334
9148,Essendon North,4/17 Bulla Rd,1,u,260000.0,Brad,3041,Western Metropolitan,1308,8.2,Moonee Valley City Council,-37.7133,144.90214
9149,Fitzroy North,780 Brunswick St,3,h,1371000.0,Nelson,3068,Northern Metropolitan,6244,3.6,Moreland City Council,-37.7748,144.9898
9150,Fitzroy North,1/180 Queens Pde,2,t,1054000.0,Chambers,3068,Northern Metropolitan,6244,3.6,Moreland City Council,-37.7748,144.9898
9151,Flemington,107 Shields St,2,h,918000.0,Nelson,3031,Northern Metropolitan,3593,3.4,Melbourne City Council,-37.7937,144.92295
9152,Forest Hill,22 Marong Tce,3,h,762500.0,Fletchers,3131,Eastern Metropolitan,4385,15.4,Whitehorse City Council,-37.8387,145.17366666666666
9153,Frankston,6/13 Fairway St,2,u,228500.0,hockingstuart,3199,South-Eastern Metropolitan,17055,38.0,Frankston City Council,-38.1278,145.13618333333332
9154,Glen Huntly,8 Augusta St,3,h,1330000.0,Woodards,3163,Southern Metropolitan,2403,10.1,Glen Eira City Council,-37.8895,145.058025
9155,Glen Huntly,2/143 Grange Rd,2,u,695000.0,hockingstuart,3163,Southern Metropolitan,2403,10.1,Glen Eira City Council,-37.8895,145.058025
9156,Glen Huntly,2/10 Rosedale Av,2,u,659000.0,Wood,3163,Southern Metropolitan,2403,10.1,Glen Eira City Council,-37.8895,145.058025
9157,Glen Huntly,7/15 Royal Av,2,u,402000.0,Stockdale,3163,Southern Metropolitan,2403,10.1,Glen Eira City Council,-37.8895,145.058025
9158,Glen Iris,423 Burke Rd,3,h,1660000.0,Christopher,3146,Southern Metropolitan,10412,7.3,Boroondara City Council,-37.8599,145.07475
9159,Glen Iris,2/25 Cloverdale Rd,3,u,1162000.0,Jellis,3146,Southern Metropolitan,10412,7.3,Boroondara City Council,-37.8599,145.07475
9160,Glen Iris,17 Cole Av,4,h,2100000.0,Marshall,3146,Southern Metropolitan,10412,7.3,Boroondara City Council,-37.8599,145.07475
9161,Glen Iris,25 Hope St,2,h,845000.0,Noel,3146,Southern Metropolitan,10412,7.3,Boroondara City Council,-37.8599,145.07475
9162,Glen Waverley,7 Angus Dr,4,h,1502000.0,Barry,3150,Eastern Metropolitan,15321,16.7,Monash City Council,-37.8891,145.17476666666667
9163,Glen Waverley,16 Appletree Dr,5,h,1610000.0,Ray,3150,Eastern Metropolitan,15321,16.7,Monash City Council,-37.8891,145.17476666666667
9164,Glen Waverley,33 Aurisch Av,4,h,1410000.0,Ray,3150,Eastern Metropolitan,15321,16.7,Monash City Council,-37.8891,145.17476666666667
9165,Glen Waverley,2/45 Campbell St,3,u,1125000.0,Barry,3150,Eastern Metropolitan,15321,16.7,Monash City Council,-37.8891,145.17476666666667
9166,Glen Waverley,2/229 Gallaghers Rd,4,h,1130000.0,LJ,3150,Eastern Metropolitan,15321,16.7,Monash City Council,-37.8891,145.17476666666667
9167,Glen Waverley,17 Harris Cr,4,h,936000.0,Ray,3150,Eastern Metropolitan,15321,16.7,Monash City Council,-37.8891,145.17476666666667
9168,Glen Waverley,11 Marshall Wy,4,t,715000.0,Ray,3150,Eastern Metropolitan,15321,16.7,Monash City Council,-37.8891,145.17476666666667
9169,Glen Waverley,58 Wilson Rd,4,h,1500000.0,Barry,3150,Eastern Metropolitan,15321,16.7,Monash City Council,-37.8891,145.17476666666667
9170,Glenroy,6 Cosmos St,3,h,691000.0,Stockdale,3046,Northern Metropolitan,8870,11.2,Moreland City Council,-37.7175,144.92933333333335
9171,Glenroy,62 Everard St,3,h,500000.0,Nelson,3046,Northern Metropolitan,8870,11.2,Moreland City Council,-37.7175,144.92933333333335
9172,Glenroy,108 Loongana Av,3,h,485000.0,Raine,3046,Northern Metropolitan,8870,11.2,Moreland City Council,-37.7175,144.92933333333335
9173,Glenroy,3/95 Loongana Av,2,t,402000.0,Considine,3046,Northern Metropolitan,8870,11.2,Moreland City Council,-37.7175,144.92933333333335
9174,Glenroy,3/28 Stanley St,3,t,545000.0,Barry,3046,Northern Metropolitan,8870,11.2,Moreland City Council,-37.7175,144.92933333333335
9175,Greensborough,2/188 Henry St,2,u,505000.0,Buckingham,3088,Northern Metropolitan,8524,16.1,Banyule City Council,-37.7064,145.12347499999998
9176,Hadfield,115 West St,4,h,700000.0,Barry,3046,Northern Metropolitan,2606,11.2,Moreland City Council,-37.7175,144.92933333333335
9177,Hadfield,148 West St,4,h,600500.0,YPA,3046,Northern Metropolitan,2606,11.2,Moreland City Council,-37.7175,144.92933333333335
9178,Hampton,30 Holyrood St,4,h,2420000.0,RT,3188,Southern Metropolitan,5454,13.8,Bayside City Council,-37.9374,145.01819999999998
9179,Hampton,22 Margarita St,4,h,2880000.0,Marshall,3188,Southern Metropolitan,5454,13.8,Bayside City Council,-37.9374,145.01819999999998
9180,Hampton,42 Myrtle Rd,5,h,1805000.0,Buxton,3188,Southern Metropolitan,5454,13.8,Bayside City Council,-37.9374,145.01819999999998
9181,Hawthorn,69 Power St,4,h,2610000.0,Marshall,3122,Southern Metropolitan,11308,5.3,Boroondara City Council,-37.8344,145.03906
9182,Hawthorn,6 Salisbury Gr,3,h,1741000.0,Marshall,3122,Southern Metropolitan,11308,5.3,Boroondara City Council,-37.8344,145.03906
9183,Hawthorn,18 Violet Gr,3,h,2325000.0,Jellis,3122,Southern Metropolitan,11308,5.3,Boroondara City Council,-37.8344,145.03906
9184,Hawthorn East,58 Auburn Gr,4,h,3100000.0,Kay,3123,Southern Metropolitan,6482,6.2,Boroondara City Council,-37.8167,145.05020000000002
9185,Hawthorn East,3/39 Mayston St,2,u,887000.0,Marshall,3123,Southern Metropolitan,6482,6.2,Boroondara City Council,-37.8167,145.05020000000002
9186,Heathmont,2 Muller Ct,3,h,865000.0,Fletchers,3135,Eastern Metropolitan,3794,21.3,Maroondah City Council,-37.8213,145.2481
9187,Heidelberg,95 Rosanna Rd,3,h,1705000.0,Barry,3084,Eastern Metropolitan,2890,8.9,Banyule City Council,-37.7637,145.07292
9188,Heidelberg Heights,36 Southern Rd,4,h,758500.0,hockingstuart,3081,Eastern Metropolitan,2947,8.8,Banyule City Council,-37.7523,145.045725
9189,Highett,16 Jackson Rd,3,h,1086000.0,O'Brien,3190,Southern Metropolitan,4794,16.0,Bayside City Council,-37.9498,145.0343
9190,Hoppers Crossing,1/1 Henley Ct,2,h,340000.0,YPA,3029,Western Metropolitan,13830,18.4,Wyndham City Council,-37.801,144.6994
9191,Hughesdale,4/89 Kangaroo Rd,2,u,623000.0,Ray,3166,Southern Metropolitan,3145,12.3,Monash City Council,-37.9016,145.10004999999998
9192,Hughesdale,3 Paget St,4,h,2120000.0,Woodards,3166,Southern Metropolitan,3145,12.3,Monash City Council,-37.9016,145.10004999999998
9193,Ivanhoe,24 Dalveen Rd,2,h,1020000.0,Buckingham,3079,Eastern Metropolitan,5549,7.8,Banyule City Council,-37.769,145.04796666666667
9194,Ivanhoe,15 Fairy St,3,h,1796000.0,Miles,3079,Eastern Metropolitan,5549,7.8,Banyule City Council,-37.769,145.04796666666667
9195,Ivanhoe,5/22 Oriel Rd,2,h,790000.0,Haughton,3079,Eastern Metropolitan,5549,7.8,Banyule City Council,-37.769,145.04796666666667
9196,Ivanhoe,5 Stanley St,3,h,1465000.0,William,3079,Eastern Metropolitan,5549,7.8,Banyule City Council,-37.769,145.04796666666667
9197,Kealba,18 Longford Ct,4,h,570000.0,YPA,3021,Western Metropolitan,1202,14.0,Brimbank City Council,-37.7334,144.792225
9198,Keilor Downs,32 Goodwood Dr,4,h,655000.0,Stockdale,3038,Western Metropolitan,3656,15.5,Brimbank City Council,-37.6985,144.793475
9199,Keilor East,4a Cohen St,3,h,583000.0,Alexkarbon,3033,Western Metropolitan,5629,11.7,Brimbank City Council,-37.7423,144.8659
9200,Keilor East,45 Nyah St,4,h,920000.0,Rendina,3033,Western Metropolitan,5629,11.7,Brimbank City Council,-37.7423,144.8659
9201,Keilor Park,5/8 Swan St,2,t,380000.0,Nelson,3042,Western Metropolitan,1119,10.4,Brimbank City Council,-37.7238,144.877275
9202,Kensington,41 Barnett St,3,h,1165000.0,Nelson,3031,Northern Metropolitan,5263,3.4,Melbourne City Council,-37.7937,144.92295
9203,Kew,23 Campbell St,3,h,1875000.0,Noel,3101,Southern Metropolitan,10331,5.4,Boroondara City Council,-37.8064,145.034
9204,Kew,16 Charles St,5,h,2850000.0,RT,3101,Southern Metropolitan,10331,5.4,Boroondara City Council,-37.8064,145.034
9205,Kew,4 Franks Gr,4,h,2550000.0,Jellis,3101,Southern Metropolitan,10331,5.4,Boroondara City Council,-37.8064,145.034
9206,Kew East,1/23 Windella Av,3,u,1250000.0,Lindellas,3102,Southern Metropolitan,2671,7.3,Boroondara City Council,-37.7947,145.0532
9207,Keysborough,17 Gregory Ct,4,h,1072000.0,Buxton,3173,South-Eastern Metropolitan,8459,25.2,Greater Dandenong City Council,-37.9961,145.1686
9208,Kilsyth,96 Hawthory Rd,5,h,640000.0,Philip,3137,Eastern Metropolitan,4654,26.0,Maroondah City Council,-37.8297,145.3139
9209,Lalor,1/1 Burton St,2,u,369000.0,Harcourts,3075,Northern Metropolitan,8279,16.3,Whittlesea City Council,-37.6673,145.0145
9210,Lalor,1 Grace Ct,3,u,487000.0,Harcourts,3075,Northern Metropolitan,8279,16.3,Whittlesea City Council,-37.6673,145.0145
9211,MacLeod,35 Dunvegan Cr,4,h,760000.0,Ray,3085,Northern Metropolitan,4168,12.7,Banyule City Council,-37.7256,145.0845666666667
9212,MacLeod,11 Moorwatha St,3,h,916000.0,Barry,3085,Northern Metropolitan,4168,12.7,Banyule City Council,-37.7256,145.0845666666667
9213,MacLeod,5 Munro St,3,h,830000.0,Miles,3085,Northern Metropolitan,4168,12.7,Banyule City Council,-37.7256,145.0845666666667
9214,MacLeod,12 Reid Wk,3,t,600000.0,Mason,3085,Northern Metropolitan,4168,12.7,Banyule City Council,-37.7256,145.0845666666667
9215,Maidstone,11 Madden St,4,h,1048000.0,Burnham,3012,Western Metropolitan,3873,6.4,Maribyrnong City Council,-37.816,144.86338
9216,Malvern East,14/410 Waverley Rd,3,t,922000.0,Jellis,3145,Southern Metropolitan,8801,8.4,Stonnington City Council,-37.8775,145.053
9217,Maribyrnong,44 Blair St,2,t,410000.0,Biggin,3032,Western Metropolitan,4918,4.3,Maribyrnong City Council,-37.776,144.91049999999998
9218,Maribyrnong,33 Newstead St,3,h,1320000.0,Nelson,3032,Western Metropolitan,4918,4.3,Maribyrnong City Council,-37.776,144.91049999999998
9219,Melbourne,1615/250 Elizabeth St,1,u,386000.0,Dingle,3000,Northern Metropolitan,17496,0.0,Melbourne City Council,-37.813,144.9611
9220,Melbourne,49/2 Exhibition St,1,u,659000.0,Harcourts,3000,Northern Metropolitan,17496,0.0,Melbourne City Council,-37.813,144.9611
9221,Mentone,1/30 Sea Pde,2,u,740000.0,Hodges,3194,South-Eastern Metropolitan,6162,20.0,Kingston City Council,-37.9833,145.0756
9222,Mill Park,379 Childs Rd,3,h,565000.0,Ray,3082,Northern Metropolitan,10529,17.9,Whittlesea City Council,-37.6633,145.0615
9223,Mill Park,7 Oakbank Av,3,h,550000.0,Ray,3082,Northern Metropolitan,10529,17.9,Whittlesea City Council,-37.6633,145.0615
9224,Mill Park,2/3 Waite Ct,4,h,492500.0,Harcourts,3082,Northern Metropolitan,10529,17.9,Whittlesea City Council,-37.6633,145.0615
9225,Mitcham,2a Fawcett St,3,t,862000.0,Noel,3132,Eastern Metropolitan,6871,17.2,Whitehorse City Council,-37.8183,145.1984666666667
9226,Mitcham,9 Garden Av,4,h,1575000.0,Noel,3132,Eastern Metropolitan,6871,17.2,Whitehorse City Council,-37.8183,145.1984666666667
9227,Mitcham,18 Hodgson St,4,h,995000.0,Noel,3132,Eastern Metropolitan,6871,17.2,Whitehorse City Council,-37.8183,145.1984666666667
9228,Mitcham,8 Reserve Av,3,h,810000.0,Noel,3132,Eastern Metropolitan,6871,17.2,Whitehorse City Council,-37.8183,145.1984666666667
9229,Mont Albert,3/7 Leopold Cr,2,u,768000.0,Fletchers,3127,Eastern Metropolitan,2079,10.2,Boroondara City Council,-37.8131,145.10383333333334
9230,Moonee Ponds,4 Addison St,4,h,1530000.0,Jellis,3039,Western Metropolitan,6232,6.2,Moonee Valley City Council,-37.7655,144.9203
9231,Moonee Ponds,1/31 Holberg St,3,h,832000.0,Jellis,3039,Western Metropolitan,6232,6.2,Moonee Valley City Council,-37.7655,144.9203
9232,Moonee Ponds,25 Mantell St,4,h,2400000.0,Rendina,3039,Western Metropolitan,6232,6.2,Moonee Valley City Council,-37.7655,144.9203
9233,Moonee Ponds,106/26 Shuter St,3,u,565000.0,Jellis,3039,Western Metropolitan,6232,6.2,Moonee Valley City Council,-37.7655,144.9203
9234,Moonee Ponds,50 Wilson St,4,h,1211000.0,Nelson,3039,Western Metropolitan,6232,6.2,Moonee Valley City Council,-37.7655,144.9203
9235,Moorabbin,14 Avon St,3,h,987000.0,Buxton,3189,Southern Metropolitan,2555,14.3,Kingston City Council,-37.9407,145.0488333333333
9236,Moorabbin,15 Genoa St,3,h,937000.0,Hodges,3189,Southern Metropolitan,2555,14.3,Kingston City Council,-37.9407,145.0488333333333
9237,Moorabbin,5 Schofield St,4,h,1426000.0,McGrath,3189,Southern Metropolitan,2555,14.3,Kingston City Council,-37.9407,145.0488333333333
9238,Mulgrave,5 Alma Cl,3,h,797000.0,Ray,3170,South-Eastern Metropolitan,7113,18.8,Monash City Council,-37.9276,145.18855
9239,Mulgrave,5 Bentley Ct,3,h,736000.0,Ray,3170,South-Eastern Metropolitan,7113,18.8,Monash City Council,-37.9276,145.18855
9240,Mulgrave,41 Highfield Av,3,h,728000.0,C21,3170,South-Eastern Metropolitan,7113,18.8,Monash City Council,-37.9276,145.18855
9241,Mulgrave,7 Lansdowne Cct,4,h,946000.0,Win,3170,South-Eastern Metropolitan,7113,18.8,Monash City Council,-37.9276,145.18855
9242,Mulgrave,4 Mansell Cl,4,h,854000.0,Harcourts,3170,South-Eastern Metropolitan,7113,18.8,Monash City Council,-37.9276,145.18855
9243,Mulgrave,20 Rathdowne Wy,4,h,950000.0,Ray,3170,South-Eastern Metropolitan,7113,18.8,Monash City Council,-37.9276,145.18855
9244,New Gisborne,1 Thom St,3,h,435000.0,Raine,3438,Northern Victoria,849,48.1,Macedon Ranges Shire Council,-37.4626,144.6034
9245,Newport,83 Challis St,5,h,1220000.0,Williams,3015,Western Metropolitan,5498,6.2,Hobsons Bay City Council,-37.8287,144.8763
9246,Niddrie,2/49 Hamilton St,2,t,617500.0,Harcourts,3042,Western Metropolitan,2291,10.4,Moonee Valley City Council,-37.7238,144.877275
9247,Noble Park,4 Dallimore Ct,3,h,520000.0,McGrath,3174,South-Eastern Metropolitan,11806,22.7,Greater Dandenong City Council,-37.9508,145.1843
9248,North Melbourne,331 Flemington Rd,4,h,1330000.0,McDonald,3051,Northern Metropolitan,6821,1.8,Melbourne City Council,-37.7984,144.9469
9249,Northcote,91 Arthurton Rd,3,h,1255000.0,Nelson,3070,Northern Metropolitan,11364,5.3,Darebin City Council,-37.7667,145.00455
9250,Northcote,9/162 Clarke St,2,u,601000.0,Nelson,3070,Northern Metropolitan,11364,5.3,Darebin City Council,-37.7667,145.00455
9251,Northcote,122 Emmaline St,2,h,1020000.0,Nelson,3070,Northern Metropolitan,11364,5.3,Darebin City Council,-37.7667,145.00455
9252,Northcote,12/20 Ross St,1,u,435000.0,Nelson,3070,Northern Metropolitan,11364,5.3,Darebin City Council,-37.7667,145.00455
9253,Northcote,124a Victoria Rd,3,h,990000.0,Barry,3070,Northern Metropolitan,11364,5.3,Darebin City Council,-37.7667,145.00455
9254,Northcote,3/162 Westgarth St,2,u,605000.0,Love,3070,Northern Metropolitan,11364,5.3,Darebin City Council,-37.7667,145.00455
9255,Nunawading,7/21 Mount Pleasant Rd,2,u,600000.0,Allens,3131,Eastern Metropolitan,4973,15.4,Manningham City Council,-37.8387,145.17366666666666
9256,Nunawading,63 Nicholson St,3,h,1015000.0,Fletchers,3131,Eastern Metropolitan,4973,15.4,Manningham City Council,-37.8387,145.17366666666666
9257,Oak Park,5/4 Ethel St,3,u,358500.0,Jason,3046,Northern Metropolitan,2651,11.2,Moreland City Council,-37.7175,144.92933333333335
9258,Oak Park,7 Pines Gr,4,h,690000.0,Brad,3046,Northern Metropolitan,2651,11.2,Moreland City Council,-37.7175,144.92933333333335
9259,Oakleigh South,9 Wicks Ct,4,h,881500.0,Ray,3167,South-Eastern Metropolitan,3692,15.5,Kingston City Council,-37.9242,145.0824
9260,Oakleigh South,17 Windsor Av,9,h,1380000.0,Ray,3167,South-Eastern Metropolitan,3692,15.5,Kingston City Council,-37.9242,145.0824
9261,Ormond,37 Lewis St,3,h,1770000.0,hockingstuart,3204,Southern Metropolitan,3578,11.4,Glen Eira City Council,-37.9107,145.06560000000002
9262,Ormond,14/21 Lillimur Rd,2,u,435000.0,RT,3204,Southern Metropolitan,3578,11.4,Glen Eira City Council,-37.9107,145.06560000000002
9263,Ormond,9 Ruby St,5,h,1836000.0,hockingstuart,3204,Southern Metropolitan,3578,11.4,Glen Eira City Council,-37.9107,145.06560000000002
9264,Ormond,44 Thompson St,3,t,1250000.0,hockingstuart,3204,Southern Metropolitan,3578,11.4,Glen Eira City Council,-37.9107,145.06560000000002
9265,Parkdale,3/3 Clare St,2,u,540000.0,Hodges,3195,South-Eastern Metropolitan,5087,21.5,Kingston City Council,-38.0014,145.10508333333334
9266,Parkdale,22 Elliot St,5,h,1215000.0,O'Brien,3195,South-Eastern Metropolitan,5087,21.5,Kingston City Council,-38.0014,145.10508333333334
9267,Parkdale,165 Parkers Rd,3,h,1290800.0,Hodges,3195,South-Eastern Metropolitan,5087,21.5,Kingston City Council,-38.0014,145.10508333333334
9268,Pascoe Vale,34 Essex St,3,h,775000.0,Brad,3044,Northern Metropolitan,7485,8.5,Moreland City Council,-37.7244,144.93845
9269,Patterson Lakes,22 Terrigal Dr,5,h,740000.0,Ray,3197,South-Eastern Metropolitan,3351,31.2,Kingston City Council,-38.0765,145.14155
9270,Port Melbourne,4/200 Bay St,2,u,655000.0,Biggin,3207,Southern Metropolitan,8648,3.5,Melbourne City Council,-37.8388,144.9282
9271,Port Melbourne,404 Bay St,2,h,1016500.0,hockingstuart,3207,Southern Metropolitan,8648,3.5,Melbourne City Council,-37.8388,144.9282
9272,Port Melbourne,44 Cruikshank St,2,h,1350000.0,RT,3207,Southern Metropolitan,8648,3.5,Melbourne City Council,-37.8388,144.9282
9273,Port Melbourne,3/39 Esplanade Pl,3,u,1082000.0,hockingstuart,3207,Southern Metropolitan,8648,3.5,Melbourne City Council,-37.8388,144.9282
9274,Port Melbourne,95 Heath St,3,h,1560000.0,Greg,3207,Southern Metropolitan,8648,3.5,Melbourne City Council,-37.8388,144.9282
9275,Port Melbourne,133/95 Rouse St,2,u,1070000.0,RT,3207,Southern Metropolitan,8648,3.5,Melbourne City Council,-37.8388,144.9282
9276,Prahran,79 Chomley St,3,h,1358000.0,Jellis,3181,Southern Metropolitan,7717,4.6,Stonnington City Council,-37.8514,144.9949
